video,method,frames_total,frames_ok,fps,ttf,fails,jitter_std_px,scale_std_pct
v1,csrt,611,611,2.01,611,0,7.64,80.38
v1,kcf,611,252,25.74,252,1,3.68,7.53
v1,mosse,611,611,98.91,611,0,11.17,0.0
v1,ncc,611,611,0.87,611,0,246718.99,261182.99
v2,csrt,485,485,6.47,485,0,12.44,82.03
v2,kcf,485,447,164.83,17,22,1.45,0.0
v2,mosse,485,461,505.36,40,14,1.16,0.0
v2,ncc,485,21,424.29,17,2,1.38,12.67
v3,csrt,1646,1646,3.35,1646,0,13.84,27.96
v3,kcf,1646,1108,14.07,10,53,134.78,14.72
v3,mosse,1646,1609,57.57,10,11,13.46,0.0
v3,ncc,1646,50,55.68,9,4,5.48,9.84
v4,csrt,887,887,7.52,887,0,6.09,212.31
v4,kcf,887,861,35.37,151,1,6.0,0.0
v4,mosse,887,887,119.08,887,0,6.24,0.0
v4,ncc,887,3,110.21,3,1,17.32,8.79
v5,csrt,408,408,13.67,408,0,4.16,46.55
v5,kcf,408,371,72.58,371,1,1.77,0.0
v5,mosse,408,390,272.9,377,1,3.71,0.0
v5,ncc,408,10,200.56,9,2,5.22,21.59
